date,services,abbrev,time,filename_each,streetlevel_airtemp_c,turnstile_level_airtemp_c
071624,BD,182,M,"FLIR071624BD182M01, FLIR071624BD182M02, FLIR071624BD182M03",33.5,
071624,BD,TA,M,"FLIR071624BDTAM01, FLIR071624BDTAM02, FLIR071624BDTAM03",32.6,
071624,BD,174,M,"FLIR071624BD174M01, FLIR071624BD174M02",32.5,
071624,BD,170,M,"FLIR071624BD170M01, FLIR071624BD170M02",32.3,
071624,BD,167,M,"FLIR071624BD167M01, FLIR071624BD167M02, FLIR071624BD167M03",32.5,
071624,BD,161,M,"FLIR071624BD161M01, FLIR071624BD161M02, FLIR071624BD161M03, FLIR071624BD161M04, FLIR071624BD161M05",33.5,
072524,BD,205,M,"FLIR072524BD205M01, FLIR072524BD205M02",27.0,
072524,BD,BPB,M,"FLIR072524BDBPBM01, FLIR072524BDBPBM02",30.2,
072524,BD,KR,M,"FLIR072524BDKRM01, FLIR072524BDKRM02",28.4,
072524,BD,182,M,"FLIR072524BD182M01, FLIR072524BD182M02",29.2,
072524,BD,TA,M,"FLIR072524BDTAM01, FLIR072524BDTAM02",28.8,
072524,BD,174,M,"FLIR072524BD174M01, FLIR072524BD174M02",27.4,
072524,BD,170,M,"FLIR072524BD170M01, FLIR072524BD170M02",29.2,
072524,BD,167,M,"FLIR072524BD167M01, FLIR072524BD167M02",29.4,
072524,BD,161,M,"FLIR072524BD161M01, FLIR072524BD161M02",30.4,
073024,BD,205,M,"FLIR073024BD205M01, FLIR073024BD205M02, FLIR073024BD205M03",28.0,
073024,BD,BPB,M,"FLIR073024BDBPBM01, FLIR073024BDBPBM02, FLIR073024BDBPBM03",27.3,
073024,BD,KR,M,"FLIR073024BDKRM01, FLIR073024BDKRM02, FLIR073024BDKRM03",28.4,
073024,BD,FR,M,"FLIR073024BDFRM01, FLIR073024BDFRM02, FLIR073024BDFRM03",26.6,
073024,BD,182,M,"FLIR073024BD182M01, FLIR073024BD182M02, FLIR073024BD182M03, FLIR073024BD182M04, FLIR073024BD182M05, FLIR073024BD182M06",27.1,
073024,BD,TA,M,"FLIR073024BDTAM01, FLIR073024BDTAM02, FLIR073024BDTAM03, FLIR073024BDTAM04, FLIR073024BDTAM05",27.0,
073024,BD,174,M,"FLIR073024BD174M01, FLIR073024BD174M02, FLIR073024BD174M03, FLIR073024BD174M04",29.1,
073024,BD,170,M,"FLIR073024BD170M01, FLIR073024BD170M02, FLIR073024BD170M03, FLIR073024BD170M04",29.1,
073024,BD,167,M,"FLIR073024BD167M01, FLIR073024BD167M02, FLIR073024BD167M03, FLIR073024BD167M04",30.2,
073024,BD,161,M,"FLIR073024BD161M01, FLIR073024BD161M02, FLIR073024BD161M03, FLIR073024BD161M04",30.5,
073024,BD,205,A,"FLIR073024BD205A01, FLIR073024BD205A02, FLIR073024BD205A03",30.5,
073024,BD,BPB,A,"FLIR073024BDBPBA01, FLIR073024BDBPBA02, FLIR073024BDBPBA03, FLIR073024BDBPBA04",30.4,
073024,BD,KR,A,"FLIR073024BDKRA01, FLIR073024BDKRA02, FLIR073024BDKRA03, FLIR073024BDKRA04",30.3,
073024,BD,FR,A,"FLIR073024BDFRA01, FLIR073024BDFRA02, FLIR073024BDFRA03",30.4,
073024,BD,182,A,"FLIR073024BD182A01, FLIR073024BD182A02, FLIR073024BD182A03, FLIR073024BD182A04",30.4,
073024,BD,TA,A,"FLIR073024BDTAA01, FLIR073024BDTAA02, FLIR073024BDTAA03, FLIR073024BDTAA04",29.8,
073024,BD,174,A,"FLIR073024BD174A01, FLIR073024BD174A02, FLIR073024BD174A03",30.9,
073024,BD,170,A,"FLIR073024BD170A01, FLIR073024BD170A02, FLIR073024BD170A03",30.7,
073024,BD,167,A,"FLIR073024BD167A01, FLIR073024BD167A02, FLIR073024BD167A03",30.8,
073024,BD,161,A,"FLIR073024BD161A01, FLIR073024BD161A02, FLIR073024BD161A03, FLIR073024BD161A04",31.6,
070824,BD,205,M,"FLIR070824BD205M01, FLIR070824BD205M02, FLIR070824BD205M03",29.8,
070824,BD,BPB,M,"FLIR070824BDBPBM01, FLIR070824BDBPBM02, FLIR070824BDBPBM03",30.3,
070824,BD,KR,M,"FLIR070824BDKRM01, FLIR070824BDKRM02, FLIR070824BDKRM03",29.7,
070824,BD,FR,M,"FLIR070824BDFRM01, FLIR070824BDFRM02",30.7,
070824,BD,182,M,"FLIR070824BD182M01, FLIR070824BD182M02, FLIR070824BD182M03, FLIR070824BD182M04",32.2,
070824,BD,TA,M,"FLIR070824BDTAM01, FLIR070824BDTAM02, FLIR070824BDTAM03",29.9,
070824,BD,174,M,"FLIR070824BD174M01, FLIR070824BD174M02",31.2,
070824,BD,170,M,"FLIR070824BD170M01, FLIR070824BD170M02",30.1,
070824,BD,167,M,"FLIR070824BD167M01, FLIR070824BD167M02, FLIR070824BD167M03",31.8,
